Cday,CT,bin,both_mid,both_midsep
4,1,2,1.999999999724423,5.0000000001323315
4,1,3,8.000000000332875,101.9999999997035
4,1,4,21.000000000186446,11.999999999989086
4,1,5,0,0
4,1,6,0,0
4,1,7,3.0000000000027285,0
4,1,8,0,0
4,1,9,0,0
4,1,10,0,0
4,2,1,0,0
4,2,2,0,0
4,2,3,0,0
4,2,4,0,0
4,2,5,0,0
4,2,6,0,0
4,2,7,0,0
4,2,8,0,0
4,2,9,0,0
4,2,10,0,0
4,3,1,0,0
4,3,2,0,0
4,3,3,0,0
4,3,4,2.000000000138243,12.999999999847205
4,3,5,0,0
4,3,6,10.00000000005457,28.99999999990905
4,3,7,0,0
4,3,8,45.00000000016553,0
4,3,9,0,0
4,3,10,0,0
4,4,1,0,0
4,4,2,0,0
4,4,3,0,0
4,4,4,0,0
4,4,5,0,0
4,4,6,0,0
4,4,7,0,0
4,4,8,0,0
4,4,9,0,0
4,4,10,0,0
4,5,1,0,0
4,5,2,0,0
4,5,3,0,0
4,5,4,0,0
4,5,5,0,0
4,5,6,0,0
4,5,7,0,0
4,5,8,0,0
4,5,9,0,0
4,5,10,0,0
4,6,1,0,0
4,6,2,0,0
4,6,3,0,0
4,6,4,0,0
4,6,5,0,0
4,6,6,0,0
4,6,7,0,0
4,6,8,0,0
4,6,9,0,0
4,6,10,0,0
4,7,1,0,0
4,7,2,0,0
4,7,3,0,0
4,7,4,0,0
4,7,5,0,0
4,7,6,0,0
4,7,7,0,0
4,7,8,0,0
4,7,9,0,0
4,7,10,0,0
4,8,1,0,0
4,8,2,172.2500000000764,28.00000000005457
4,8,3,68.74999999995634,20.999999999989086
4,8,4,0,0
4,8,5,0,0
4,8,6,0,0
4,8,7,0,0
4,8,8,0,0
4,8,9,0,0
4,8,10,0,0
4,9,1,0,0
4,9,2,0,0
4,9,3,0,0
4,9,4,0,0
4,9,5,0,0
4,9,6,171.9999999999127,14.000000000130967
4,9,7,213,3.9999999998690328
4,9,8,0,0
4,9,9,0,0
4,9,10,0,0
4,10,1,0,0
4,10,2,0,0
4,10,3,0,0
4,10,4,0,0
4,10,5,0,0
4,10,6,0,0
4,10,7,0,0
4,10,8,12.999999999839929,7
4,10,9,0,0
4,10,10,0,0
4,11,1,0,0
4,11,2,0,0
4,11,3,0,0
4,11,4,242.00000000013097,7.250000000014552
4,11,5,226.00000000007276,17.750000000021828
4,11,6,0,4.000000000065484
4,11,7,0,0
4,11,8,0,0
4,11,9,0,0
