,Cday,CT,bin_ct,data_ct,both_mid_ct,both_midsep_ct
359,2,11,10,,,
360,2,12,1,,,
361,2,12,2,,,
362,2,12,3,,,
363,2,12,4,,,
364,2,12,5,,,
365,2,12,6,,,
366,2,12,7,,,
367,2,12,8,,,
368,2,12,9,,,
369,2,12,10,,,
370,2,13,1,,,
371,2,13,2,,,
372,2,13,3,,,
373,2,13,4,,,
374,2,13,5,,,
375,2,13,6,,,
376,2,13,7,,,
377,2,13,8,,,
378,2,13,9,,,
379,2,13,10,,,
380,2,14,1,,,
381,2,14,2,,,
382,2,14,3,,,
383,2,14,4,,,
384,2,14,5,,,
385,2,14,6,,,
386,2,14,7,,,
387,2,14,8,,,
388,2,14,9,,,
389,2,14,10,,,
390,2,15,1,,,
391,2,15,2,,,
392,2,15,3,,,
393,2,15,4,,,
394,2,15,5,,,
395,2,15,6,,,
396,2,15,7,,,
397,2,15,8,,,
398,2,15,9,,,
399,2,15,10,,,
400,2,16,1,,,
401,2,16,2,,,
402,2,16,3,,,
403,2,16,4,,,
404,2,16,5,,,
405,2,16,6,,,
406,2,16,7,,,
407,2,16,8,,,
408,2,16,9,,,
409,2,16,10,,,
410,2,17,1,,,
411,2,17,2,,,
412,2,17,3,,,
413,2,17,4,,,
414,2,17,5,,,
415,2,17,6,,,
416,2,17,7,,,
417,2,17,8,,,
418,2,17,9,,,
419,2,17,10,,,
420,2,18,1,,,
421,2,18,2,,,
422,2,18,3,,,
423,2,18,4,,,
424,2,18,5,,,
425,2,18,6,,,
426,2,18,7,,,
427,2,18,8,,,
428,2,18,9,,,
429,2,18,10,,,
430,2,19,1,,,
431,2,19,2,,,
432,2,19,3,,,
433,2,19,4,,,
434,2,19,5,,,
435,2,19,6,,,
436,2,19,7,,,
437,2,19,8,,,
438,2,19,9,,,
439,2,19,10,,,
440,2,20,1,,,
441,2,20,2,,,
442,2,20,3,,,
443,2,20,4,,,
444,2,20,5,,,
445,2,20,6,,,
446,2,20,7,,,
447,2,20,8,,,
448,2,20,9,,,
449,2,20,10,,,
450,2,21,1,,,
451,2,21,2,,,
452,2,21,3,,,
453,2,21,4,,,
454,2,21,5,,,
455,2,21,6,,,
456,2,21,7,,,
457,2,21,8,,,
458,2,21,9,,,
459,2,21,10,,,
460,2,22,1,,,
461,2,22,2,,,
462,2,22,3,,,
463,2,22,4,,,
464,2,22,5,,,
465,2,22,6,,,
466,2,22,7,,,
467,2,22,8,,,
468,2,22,9,,,
469,2,22,10,,,
470,2,23,1,,,
471,2,23,2,,,
472,2,23,3,,,
473,2,23,4,,,
474,2,23,5,,,
475,2,23,6,,,
476,2,23,7,,,
477,2,23,8,,,
478,2,23,9,,,
479,2,23,10,,,
480,3,0,1,0.0,0.0,0.0
481,3,0,2,0.0,0.0,0.0
482,3,0,3,0.0,0.0,0.0
483,3,0,4,0.0,0.0,0.0
484,3,0,5,0.0,0.0,0.0
485,3,0,6,0.0,0.0,0.0
486,3,0,7,0.0,0.0,0.0
487,3,0,8,0.0,0.0,0.0
488,3,0,9,0.0,0.0,0.0
489,3,0,10,0.0,0.0,0.0
490,3,1,1,0.0,0.0,0.0
491,3,1,2,0.0,0.0,0.0
492,3,1,3,0.0,0.0,0.0
493,3,1,4,0.0,0.0,0.0
494,3,1,5,0.0,0.0,0.0
495,3,1,6,0.0,0.0,0.0
496,3,1,7,0.0,0.0,0.0
497,3,1,8,0.0,0.0,0.0
498,3,1,9,3.9999999999613465,7.999999999922693,0.0
499,3,1,10,11.000000000066848,20.000000000006366,1.0000000000636646
500,3,2,1,49.50000000000682,99.00000000001364,0.0
501,3,2,2,0.0,0.0,0.0
502,3,2,3,45.500000000096406,91.00000000019281,0.0
503,3,2,4,0.0,0.0,0.0
504,3,2,5,0.0,0.0,0.0
505,3,2,6,0.0,0.0,0.0
506,3,2,7,0.0,0.0,0.0
507,3,2,8,0.0,0.0,0.0
508,3,2,9,0.0,0.0,0.0
509,3,2,10,0.0,0.0,0.0
510,3,3,1,0.0,0.0,0.0
511,3,3,2,0.0,0.0,0.0
512,3,3,3,0.0,0.0,0.0
513,3,3,4,0.0,0.0,0.0
514,3,3,5,0.0,0.0,0.0
515,3,3,6,0.0,0.0,0.0
516,3,3,7,0.0,0.0,0.0
517,3,3,8,0.0,0.0,0.0
518,3,3,9,0.0,0.0,0.0
519,3,3,10,0.0,0.0,0.0
520,3,4,1,0.0,0.0,0.0
521,3,4,2,0.0,0.0,0.0
522,3,4,3,64.49999999994816,122.99999999988904,3.000000000003638
523,3,4,4,10.499999999959982,19.000000000211003,0.9999999998544808
524,3,4,5,50.99999999998272,74.00000000012187,13.999999999921783
525,3,4,6,63.49999999998181,113.00000000024374,6.999999999859938
526,3,4,7,0.0,0.0,0.0
527,3,4,8,0.0,0.0,0.0
528,3,4,9,0.0,0.0,0.0
529,3,4,10,0.0,0.0,0.0
530,3,5,1,0.0,0.0,0.0
531,3,5,2,0.0,0.0,0.0
532,3,5,3,0.0,0.0,0.0
533,3,5,4,0.0,0.0,0.0
534,3,5,5,0.0,0.0,0.0
535,3,5,6,0.0,0.0,0.0
536,3,5,7,0.0,0.0,0.0
537,3,5,8,0.0,0.0,0.0
538,3,5,9,0.0,0.0,0.0
539,3,5,10,0.0,0.0,0.0
540,3,6,1,0.0,0.0,0.0
541,3,6,2,0.0,0.0,0.0
542,3,6,3,0.0,0.0,0.0
543,3,6,4,0.0,0.0,0.0
544,3,6,5,0.0,0.0,0.0
545,3,6,6,0.0,0.0,0.0
546,3,6,7,0.0,0.0,0.0
547,3,6,8,0.0,0.0,0.0
548,3,6,9,0.0,0.0,0.0
549,3,6,10,0.0,0.0,0.0
550,3,7,1,0.0,0.0,0.0
551,3,7,2,0.0,0.0,0.0
552,3,7,3,0.0,0.0,0.0
553,3,7,4,0.0,0.0,0.0
554,3,7,5,0.0,0.0,0.0
555,3,7,6,0.0,0.0,0.0
556,3,7,7,0.0,0.0,0.0
557,3,7,8,0.0,0.0,0.0
558,3,7,9,0.0,0.0,0.0
559,3,7,10,0.0,0.0,0.0
560,3,8,1,0.0,0.0,0.0
561,3,8,2,0.0,0.0,0.0
562,3,8,3,0.0,0.0,0.0
563,3,8,4,0.0,0.0,0.0
564,3,8,5,0.0,0.0,0.0
565,3,8,6,0.0,0.0,0.0
566,3,8,7,109.49999999998363,218.99999999996726,0.0
567,3,8,8,14.00000000003638,28.00000000007276,0.0
568,3,8,9,0.0,0.0,0.0
569,3,8,10,0.0,0.0,0.0
570,3,9,1,0.0,0.0,0.0
571,3,9,2,0.0,0.0,0.0
572,3,9,3,11.500000000061846,23.00000000012369,0.0
573,3,9,4,0.0,0.0,0.0
574,3,9,5,14.499999999952706,28.999999999905413,0.0
575,3,9,6,0.0,0.0,0.0
576,3,9,7,6.500000000029104,13.000000000058208,0.0
577,3,9,8,0.0,0.0,0.0
578,3,9,9,0.0,0.0,0.0
579,3,9,10,0.0,0.0,0.0
580,3,10,1,0.0,0.0,0.0
581,3,10,2,0.0,0.0,0.0
582,3,10,3,34.00000000013824,68.00000000027649,0.0
583,3,10,4,0.0,0.0,0.0
584,3,10,5,0.0,0.0,0.0
585,3,10,6,0.0,0.0,0.0
586,3,10,7,0.0,0.0,0.0
587,3,10,8,0.0,0.0,0.0
588,3,10,9,0.0,0.0,0.0
589,3,10,10,0.0,0.0,0.0
590,3,11,1,0.0,0.0,0.0
591,3,11,2,0.0,0.0,0.0
592,3,11,3,0.0,0.0,0.0
593,3,11,4,0.0,0.0,0.0
594,3,11,5,0.0,0.0,0.0
595,3,11,6,0.0,0.0,0.0
596,3,11,7,5.000000000029104,10.000000000058208,0.0
597,3,11,8,32.499999999934516,64.99999999986903,0.0
598,3,11,9,10.50000000009095,21.0000000001819,0.0
599,3,11,10,0.0,0.0,0.0
600,3,12,1,0.0,0.0,0.0
601,3,12,2,0.0,0.0,0.0
602,3,12,3,0.0,0.0,0.0
603,3,12,4,0.0,0.0,0.0
604,3,12,5,0.0,0.0,0.0
605,3,12,6,0.0,0.0,0.0
606,3,12,7,36.50000000004002,57.000000000152795,7.99999999996362
607,3,12,8,183.0000000001528,334.0000000002765,16.000000000014552
608,3,12,9,7.499999999949068,14.999999999898137,0.0
609,3,12,10,0.0,0.0,0.0
610,3,13,1,0.0,0.0,0.0
611,3,13,2,35.49999999998181,70.99999999996362,0.0
612,3,13,3,59.999999999992724,119.99999999998545,0.0
