,Cday,CT,bin,data
1108,5,14,9,0.0
1109,5,14,10,0.0
1110,5,15,1,0.0
1111,5,15,2,110.0
1112,5,15,3,86.0
1113,5,15,4,0.0
1114,5,15,5,0.0
1115,5,15,6,0.0
1116,5,15,7,0.0
1117,5,15,8,0.0
1118,5,15,9,0.0
1119,5,15,10,0.0
1120,5,16,1,0.0
1121,5,16,2,0.0
1122,5,16,3,0.0
1123,5,16,4,0.0
1124,5,16,5,0.0
1125,5,16,6,0.0
1126,5,16,7,0.0
1127,5,16,8,0.0
1128,5,16,9,0.0
1129,5,16,10,0.0
1130,5,17,1,35.0
1131,5,17,2,98.0
1132,5,17,3,29.0
1133,5,17,4,0.0
1134,5,17,5,12.0
1135,5,17,6,0.0
1136,5,17,7,1.0
1137,5,17,8,0.0
1138,5,17,9,0.0
1139,5,17,10,44.0
1140,5,18,1,72.0
1141,5,18,2,45.0
1142,5,18,3,0.0
1143,5,18,4,15.0
1144,5,18,5,0.0
1145,5,18,6,0.0
1146,5,18,7,0.0
1147,5,18,8,0.0
1148,5,18,9,0.0
